1-30'CL, ANTI-PHOSPHOCHOLINE PROTEIN, P-NITROPHENYL PHOSPHOCHOLINE
FF29-36-15'CL, ANTI-P-AZOPHENYLARSONATE
WOL, ANTI-HUMAN GAMMA G GLOBULIN; WA IDIOTYPE
RF-5 PAN'CL, ANTI-IGG-PAN RHEUMATOID FACTOR
1E10'CL, ANTI-MOUSE RED BLOOD CELL AUTOANTIBODIES
4H11'CL, ANTI-HUMAN PROCOLLAGENASE
M01'CL, ANTI-RH(D)
mAb114'CL, ANTI-IGG FC FRAGMENT RHEUMATOID FACTOR
101'CL, ANTI-PSEUDOMONAS AERUGINOSA LIPOPOLYSACCHARIDE OUTER CORE
S4 2D'CL, ANTI-EPIDERMAL GROWTH FACTOR RECEPTOR
36.2.2'CL, ANTI-STREPTOCOCCAL M PROTEIN, MYOSIN, LIGHT MEROMYOSIN, TROPOMYOSIN, KERATIN
AL/3/12'CL, ANTI-CHONDROITIN SULPHATE PROTEOGLYCAN NG2, A TUMOR-SPECIFIC ANTIGEN ON THE 3-4 BENZPYRENE-INDUCED RAT CHONDROSARCOMA HSN
mAb426.12.3F1.4'CL, POLYREACTIVE AUTOANTIBODY
2C2A'CL, ANTI-P-AZOPHENYLARSONATE HYBRIDOMA(BINDING CONSTANT=5.9X10EXP6)
HT, ANTI-VH4-34
lambda3'CL, ANTI-HUMAN THYROGLOBULIN
TH3'CL, ANTI-SSDNA, IGG HYBRIDOMA
22.3, ANTI-MYELIN OLIGODENDROCYTE GLYCOPROTEIN (MOG)
2INH6'CL, ANTI-HUMAN INSULIN
RF-IP10'CL, RHEUMATOID FACTOR
1G2'CL, EARLY ANTI-NUCLEOSOME AUTOANTIBODY (KD = 6.7X10EXP-8)
ka3les'CL, ANTI-IGG (RHEUMATOID FACTOR)
BV16-13'CL, ANTI-DSDNA (95%), SSDNA (28%)
CC46'CL, ANTI-TUMOR-ASSOCIATED GLYCOPROTEIN-72 (TAG-72)
